symbol	hgnc_id	ensembl_gene_id	constrained	hcndd	hcndd_dominant	hcndd_recessive_X_linked	spark_sfari1	eagle_definitive_strong	syngo	chromepitf	glia_up	glia_down	inh_interneuron_mge_up	inh_interneuron_mge_transup	inh_interneuron_mge_down	inh_interneuron_cge_down	principal_exc_neuron_transup	principal_exc_neuron_transdown	principal_exc_neuron_down
A1BG	HGNC:5	ENSG00000121410	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True
A1CF	HGNC:24086	ENSG00000148584	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False
A2M	HGNC:7	ENSG00000175899	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True
A2ML1	HGNC:23336	ENSG00000166535	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False
A3GALT2	HGNC:30005	ENSG00000184389	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
A4GALT	HGNC:18149	ENSG00000128274	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
A4GNT	HGNC:17968	ENSG00000118017	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
AAAS	HGNC:13666	ENSG00000094914	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
AACS	HGNC:21298	ENSG00000081760	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False
AADAC	HGNC:17	ENSG00000114771	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
AADACL2	HGNC:24427	ENSG00000197953	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
AADACL3	HGNC:32037	ENSG00000188984	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
AADACL4	HGNC:32038	ENSG00000204518	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
AADAT	HGNC:17929	ENSG00000109576	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True
AAGAB	HGNC:25662	ENSG00000103591	False	False	False	False	False	False	False	False	True	False	True	False	False	False	False	False	False
AAK1	HGNC:19679	ENSG00000115977	True	False	False	False	False	False	True	False	False	False	True	False	False	False	False	False	False
AAMDC	HGNC:30205	ENSG00000087884	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True
AAMP	HGNC:18	ENSG00000127837	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
AANAT	HGNC:19	ENSG00000129673	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
AAR2	HGNC:15886	ENSG00000131043	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False
AARD	HGNC:33842	ENSG00000205002	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False
AARS1	HGNC:20	ENSG00000090861	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
AARS2	HGNC:21022	ENSG00000124608	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
AARSD1	HGNC:28417	ENSG00000266967	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
AASDH	HGNC:23993	ENSG00000157426	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False
AASDHPPT	HGNC:14235	ENSG00000149313	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	True
AASS	HGNC:17366	ENSG00000008311	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True
AATF	HGNC:19235	ENSG00000275700	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False
AATK	HGNC:21	ENSG00000181409	False	False	False	False	False	False	False	False	True	False	True	False	False	False	True	False	False
ABAT	HGNC:23	ENSG00000183044	False	True	False	False	False	False	False	False	False	False	True	False	False	False	False	False	True
ABCA1	HGNC:29	ENSG00000165029	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True
ABCA2	HGNC:32	ENSG00000107331	True	True	False	False	False	False	False	False	False	False	True	False	False	False	True	False	False
ABCA3	HGNC:33	ENSG00000167972	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False
